 demo                      SWAT+ 2026-05-18        MODULAR Rev 2026.61.0.2.11-298-g33cb547                
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2020       1    corn                                            16876.990    7594.646     168.770      26.808
   366    12    31  2020       1    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       2    corn                                            17271.416    7772.139     172.714      27.634
   366    12    31  2020       2    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       3    corn                                            16884.156    7597.870     168.842      26.878
   366    12    31  2020       3    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       4    corn                                            17254.713    7764.621     172.547      27.608
   366    12    31  2020       4    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       5    corn                                            17255.291    7764.882     172.553      27.608
   366    12    31  2020       5    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       6    corn                                            17254.582    7764.561     172.546      27.607
   366    12    31  2020       6    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       7    corn                                            17240.752    7758.335     172.407      27.585
   366    12    31  2020       7    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       8    corn                                            17280.533    7776.239     172.805      27.649
   366    12    31  2020       8    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020       9    corn                                            17259.043    7766.570     172.590      27.614
   366    12    31  2020       9    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      10    corn                                            17271.068    7771.981     172.711      27.634
   366    12    31  2020      10    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      11    corn                                            17265.625    7769.533     172.656      27.625
   366    12    31  2020      11    soyb                                                0.000       0.000       0.000       0.000
   366    12    31  2020      12    corn                                            17272.701    7772.714     172.727      27.636
   366    12    31  2020      12    soyb                                                0.000       0.000       0.000       0.000
