 demo                      SWAT+ 2026-05-18        MODULAR Rev 2026.61.0.2.11-298-g33cb547                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn    plant_cov       mgt_ops                          percn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha                                                      kgha
   366    12    31  2020       1       1  hru0001                0.041       0.111       0.000       0.016       0.037       0.000       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       2       1  hru0002                0.036       0.361       0.000       0.028       0.432       0.004       0.000       0.004       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       3       1  hru0003                0.041       0.145       0.000       0.024       0.184       0.000       0.000       0.000       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       4       1  hru0004                0.041       0.500       0.000       0.040       0.073       0.020       0.000       0.014       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       5       1  hru0005                0.041       0.476       0.000       0.040       0.080       0.023       0.000       0.016       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       6       1  hru0006                0.062       0.777       0.000       0.039       0.083       0.027       0.000       0.028       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       7       1  hru0007                0.064       0.519       0.000       0.036       0.051       0.003       0.000       0.004       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       8       1  hru0008                0.057       0.706       0.000       0.030       0.090       0.003       0.000       0.005       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       9       1  hru0009                0.062       0.662       0.000       0.037       0.091       0.019       0.000       0.020       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020      10       1  hru0010                0.059       0.654       0.000       0.034       0.084       0.015       0.000       0.016       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020      11       1  hru0011                0.055       0.542       0.000       0.030       0.215       0.016       0.000       0.017       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020      12       1  hru0012                0.058       0.582       0.000       0.033       0.109       0.015       0.000       0.016       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
