 demo                      SWAT+ 2026-05-18        MODULAR Rev 2026.61.0.2.11-298-g33cb547                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      plant_cov       mgt_ops                       
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   366    12    31  2020       1       1  hru0001        0.000       0.000      -9.647      -7.610            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          264.934           46.017            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002        0.000       0.000       3.896       3.481            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          271.007           48.818            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       3       1  hru0003        0.000       0.000      -9.248      -7.289            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          265.079           46.064            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004        0.000       0.000      10.388       8.659            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          270.662           48.754            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005        0.000       0.000      12.191      10.099            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          270.695           48.760            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006        0.000       0.000      14.150      11.657            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          270.728           48.766            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007        0.000       0.000      -3.735      -2.622            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          270.467           48.719            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008        0.000       0.000      -0.108       0.279            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          271.009           48.815            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009        0.000       0.000      11.040       9.176            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          270.828           48.785            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      10       1  hru0010        0.000       0.000       9.225       7.730            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          270.981           48.811            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      11       1  hru0011        0.000       0.000      16.196      13.304            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          270.977           48.813            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      12       1  hru0012        0.000       0.000      10.303       8.592            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000          271.021           48.819            0.000            0.000       cosy_comm       mgt_01                        
