 demo                      SWAT+ 2026-05-18        MODULAR Rev 2026.61.0.2.11-298-g33cb547                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro   plant_cov       mgt_ops                    
                                                             m**2/m**2        kgha        kgha        kgha        degc        ----        ----        ----        ----        ----        ----        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  2020       1       1  hru0001                2.524   10034.515   16131.680    1029.744      12.868       9.462       0.000      13.610       0.400       4.916       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      97.442      40.926   cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002                2.524   10287.450   16508.686    1059.063      12.870       9.417       0.000      13.610       0.670       0.733       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      99.688      41.869   cosy_comm       mgt_01                        
   366    12    31  2020       3       1  hru0003                2.525   10040.836   16138.529    1029.163      12.866       9.500       0.000      13.610       0.317       4.639       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      97.496      40.948   cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004                2.520   10272.286   16492.721    1046.157      12.864       9.522       0.000      13.610       0.646       0.733       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      99.562      41.816   cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005                2.521   10274.021   16493.273    1046.169      12.865       9.506       0.000      13.610       0.650       0.733       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      99.574      41.821   cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006                2.521   10275.449   16492.596    1046.783      12.864       9.505       0.000      13.610       0.649       0.733       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      99.578      41.823   cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007                2.520   10264.273   16479.377    1044.142      12.864       9.577       0.000      13.610       0.690       0.771       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      99.491      41.786   cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008                2.522   10285.714   16517.400    1053.892      12.869       9.418       0.000      13.610       0.665       0.735       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      99.689      41.869   cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009                2.522   10280.053   16496.859    1047.561      12.864       9.477       0.000      13.610       0.669       0.733       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      99.614      41.838   cosy_comm       mgt_01                        
   366    12    31  2020      10       1  hru0010                2.523   10284.283   16508.355    1049.694      12.866       9.423       0.000      13.610       0.665       0.733       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      99.665      41.859   cosy_comm       mgt_01                        
   366    12    31  2020      11       1  hru0011                2.527   10288.363   16503.152    1063.243      12.871       9.402       0.000      13.610       0.677       0.734       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      99.678      41.865   cosy_comm       mgt_01                        
   366    12    31  2020      12       1  hru0012                2.524   10287.481   16509.914    1050.018      12.868       9.400       0.000      13.610       0.674       0.733       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   44304.488      99.685      41.868   cosy_comm       mgt_01                        
