 demo                      SWAT+ 2026-05-18        MODULAR Rev 2026.61.0.2.11-298-g33cb547                
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor   plant_cov       mgt_ops                    
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  2020       1       1  hru0001              952.607     110.345     110.032      29.745       0.224      29.970       0.000    1226.632       0.000     771.940     454.691      29.745      66.112      46.596      14.173      38.878      17.582       0.000       0.000       0.455    1583.443       0.000     303.289       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.704       0.151       6.355       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002              952.607     110.345     110.032      25.998       0.347      26.344       0.000    1227.937       0.000     772.092     455.844      25.997      65.257      46.596      14.746      40.045      17.877       0.000       0.000       0.455    1583.443       0.000     300.981       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.692       0.132       9.819       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       3       1  hru0003              952.607     110.345     110.032      29.517       0.700      30.217       0.000    1225.923       0.000     771.513     454.410      29.516      66.046      46.596      14.171      38.932      17.495       0.000       0.000       0.455    1583.443       0.000     302.827       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.704       0.150      19.836       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004              952.607     110.345     110.032      30.061       0.073      30.134       0.000    1226.918       0.000     771.533     455.386      30.060      66.164      46.596      14.701      38.845      17.766       0.000       0.000       0.455    1583.443       0.000     303.750       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.693       0.152       2.069       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005              952.607     110.345     110.032      30.117       0.095      30.212       0.000    1226.840       0.000     771.747     455.093      30.117      66.179      46.596      14.700      38.795      17.733       0.000       0.000       0.455    1583.443       0.000     303.750       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.693       0.153       2.684       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006              952.607     110.345     110.032      29.799       0.088      29.887       0.000    1226.703       0.000     771.733     454.970      29.799      66.108      46.596      14.701      38.919      17.730       0.000       0.000       0.455    1583.443       0.000     303.289       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.693       0.151       2.488       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007              952.607     110.345     110.032      30.711       0.063      30.774       0.000    1226.278       0.000     770.968     455.310      30.710      66.313      46.596      14.694      38.596      17.780       0.000       0.000       0.455    1583.443       0.000     303.750       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.693       0.156       1.790       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008              952.607     110.345     110.032      26.994       0.088      27.082       0.000    1227.200       0.000     772.160     455.040      26.994      65.475      46.596      14.726      39.464      17.932       0.000       0.000       0.455    1583.443       0.000     300.981       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.692       0.137       2.483       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009              952.607     110.345     110.032      29.549       0.113      29.662       0.000    1226.928       0.000     771.887     455.041      29.549      66.054      46.596      14.702      39.074      17.692       0.000       0.000       0.455    1583.443       0.000     303.289       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -0.693       0.150       3.192       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
